産業__産業分類名称_総合計,__時間軸コード_2015100000,列見出し4_列見出し5_単位（列）_年度_2015年度,_社_8527,_百万円_356508776,_百万円_14504871,_百万円_12079769,_百万円_2425102,うち、関係会社への委託_国内_百万円_961675,うち、関係会社への委託_海外_百万円_462589,_％_4.07,_百万円_1156934,国内_百万円_89187,海外_百万円_16646,_社_1924,_百万円_644839,_社_8971,_百万円_212407
サービス業（その他のサービス業を除く）,2019100000,2019年度,126,,,,5873,433,59,,14450,653,***,11,223,457,
廃棄物処理業,2019100000,2019年度,29,272914,768,504,264,86,***,0.28,90,***,***,3,6,55,343
機械等修理業,2019100000,2019年度,47,1130876,14557,12376,2181,181,***,1.29,422,422,***,5,192,112,1696
職業紹介業,2019100000,2019年度,***,***,***,***,***,***,***,***,***,***,***,***,***,11,640
労働者派遣業,2019100000,2019年度,10,203408,3298,343,2955,80,59,1.62,13938,231,***,1,,95,2076
ディスプレイ業,2019100000,2019年度,3,26914,38,38,***,***,***,0.14,***,***,***,***,***,9,220
テレマーケティング業,2019100000,2019年度,***,***,***,***,***,***,***,***,***,***,***,***,***,14,262
その他の事業サービス業,2019100000,2019年度,37,302810,1970,1497,473,86,***,0.65,***,***,***,2,,161,2366
サービス業（その他のサービス業）,2019100000,2019年度,48,2281499,147498,144980,2518,612,***,6.46,8599,***,***,9,10813,149,4617
その他の産業,2019100000,2019年度,156,9164124,27279,21591,5688,256,***,0.3,213,6,***,21,3534,309,7458
